channel_name	ids	id_c	max_scanned_at	criteria_by_avg
bobimpupgx	2386924678025279	1	2021-06-09 00:00:00	50000
bobimpubgke	2386924678025279	1	2021-01-16 00:00:00	50000
bobimpubgmu	2386924678025279	1	2020-12-08 00:00:00	50000
taylbar.7	113368847240858	1	2021-05-08 00:00:00	50000
dada.gaming.0222	402113873978406	1	2021-08-16 00:00:00	50000
RafflesiaGaming	300352774014351	1	2021-07-12 00:00:00	50000
bobimpubgn	2386924678025279	1	2021-02-04 00:00:00	50000
boxsteranthony	880535315485310	1	2020-09-11 00:00:00	50000
iambookr	113152283765584	1	2020-10-01 00:00:00	50000
7soonaa	111299614024590	1	2021-05-27 00:00:00	50000
boikpubg	2386924678025279	1	2021-03-19 00:00:00	50000
fikotvgaming	103713984667320	1	2020-12-13 00:00:00	50000
AMAGaming0	158173537556186	1	2021-05-11 00:00:00	50000
bobiompug	2386924678025279	1	2021-04-19 00:00:00	50000
ToxicRahu	100063867843739	1	2021-07-27 00:00:00	50000
bolequic	2386924678025279	1	2021-05-22 00:00:00	50000
bobimdabu	2386924678025279	1	2021-03-07 00:00:00	50000
StellaStreaming	861990614170674	1	2021-08-04 00:00:00	50000
hernancein07	101967404869572	1	2020-11-01 00:00:00	50000
ajstarmp686	103970271776633	1	2021-07-30 00:00:00	50000
BryannnOfficial	107487537670628	1	2021-09-01 00:00:00	50000
RobleisIUTU	471291159580879	1	2021-04-01 00:00:00	50000
jrod0913	263222977900927	1	2020-09-09 00:00:00	50000
bobimpubgkj	2386924678025279	1	2021-01-17 00:00:00	50000
bobimpubgsd	2386924678025279	1	2020-12-25 00:00:00	50000
ryzengaming02	114890496633420	1	2020-10-27 00:00:00	50000
BigSh0ck	106500460686195	1	2021-01-13 00:00:00	50000
bobmegup	2386924678025279	1	2021-04-21 00:00:00	50000
boekpubg	2386924678025279	1	2021-03-20 00:00:00	50000
bobimgmwa	2386924678025279	1	2021-08-04 00:00:00	50000
boqitued	2386924678025279	1	2021-05-28 00:00:00	50000
ClownRosGaming	104920037701684	1	2021-08-03 00:00:00	50000
Madam-chescake-101588148715928	101588148715928	1	2021-05-20 00:00:00	50000
بوزو-BOZO-109882857381584	109882857381584	1	2021-06-14 00:00:00	50000
bobimpubgkx	2386924678025279	1	2020-12-28 00:00:00	50000
freefireth	740460599475760	1	2021-05-02 00:00:00	50000
bobimkan	2386924678025279	1	2021-04-05 00:00:00	50000
bobimckpubg	2386924678025279	1	2021-03-24 00:00:00	50000
GNSMatrix	111283547433156	1	2021-04-10 00:00:00	50000
bobimpubgcp	2386924678025279	1	2021-01-14 00:00:00	50000
budi01gembel	103302884410850	1	2021-07-31 00:00:00	50000
Kyawminhtoo222	100172975122396	1	2020-11-09 00:00:00	50000
bobimykpubg	2386924678025279	1	2021-02-26 00:00:00	50000
FarhanGamerbd	432237624251079	1	2021-07-11 00:00:00	50000
THEGYMAN	100650715090628	1	2021-08-23 00:00:00	50000
TitoGamingPage	104776204341642	1	2021-05-18 00:00:00	50000
shahen080808	100954488340447	1	2020-08-23 00:00:00	50000
bobimpubgkr	2386924678025279	1	2020-12-29 00:00:00	50000
panntheegaming	105096334545099	1	2020-10-30 00:00:00	50000
TakaWorld	111589126932372	1	2021-02-03 00:00:00	50000
bobimkim	2386924678025279	1	2021-03-25 00:00:00	50000
boxuaem	2386924678025279	1	2021-05-10 00:00:00	50000
bobimpubgm	2386924678025279	1	2021-01-09 00:00:00	50000
MuuhProLive	1614685215325954	1	2021-09-01 00:00:00	50000
bobimpubgkk	2386924678025279	1	2021-01-07 00:00:00	50000
StivenTC320	103941484974356	1	2021-01-20 00:00:00	50000
RichoViloid	114077526800523	1	2021-08-31 00:00:00	50000
bobimgmae	2386924678025279	1	2021-09-04 00:00:00	50000
bopecka	2386924678025279	1	2021-05-24 00:00:00	50000
wansgamer93	873096059732710	1	2021-08-27 00:00:00	50000
Gamehunt420	103853361807807	1	2021-07-27 00:00:00	50000
107262431152201	100059622788386	1	2021-05-06 00:00:00	50000
Mirrodin.dota	102920834699823	1	2020-10-03 00:00:00	50000
GuyngidFanpage	733185783695420	1	2021-04-13 00:00:00	50000
ThaiBuiGaming	106483533009	1	2021-02-27 00:00:00	50000
PUBGThailandProLeague	2189481824617023	1	2021-08-15 00:00:00	50000
JUSTiXMCH	100057584614249	1	2021-08-15 00:00:00	50000
roxygamers	102593284747546	1	2021-07-19 00:00:00	50000
PUBGMobileEsportsMalaysia	124146529134469	1	2021-04-21 00:00:00	50000
RSGVokey	426510434861480	1	2021-06-28 00:00:00	50000
fungmer9	115259713174251	1	2021-07-30 00:00:00	50000
bobimpubgvp	2386924678025279	1	2020-12-16 00:00:00	50000
bobimpubga	2386924678025279	1	2020-12-03 00:00:00	50000
yajibagaming	107975687530130	1	2020-09-05 00:00:00	50000
InFeJaRe	"1433941789, 108097170847517"	2	2021-07-28 00:00:00	50000
teamclaymm	103594894777418	1	2021-07-30 00:00:00	50000
junaxgamingtv	100330664978971	1	2021-07-19 00:00:00	50000
ObaidaGam	467623017140085	1	2021-05-21 00:00:00	50000
RUMBLEROYALE	498948070218799	1	2021-08-27 00:00:00	50000
lawgaming19	103093684622314	1	2020-08-19 00:00:00	50000
animekugeming	107592751020460	1	2021-07-11 00:00:00	50000
TheOfficialRealG	105405974447800	1	2020-08-25 00:00:00	50000
bobimpubglv	2386924678025279	1	2021-01-08 00:00:00	50000
kohein447	368915373473835	1	2021-02-08 00:00:00	50000
ZuXiYam	100058023041490	1	2021-08-26 00:00:00	50000
YeahYenGaming	106830264001595	1	2020-09-11 00:00:00	50000
rjhvgaming	102761864669183	1	2020-10-01 00:00:00	50000
Matt100kGaming	111108687346817	1	2021-06-11 00:00:00	50000
bocukop	2386924678025279	1	2021-05-02 00:00:00	50000
froggamingusa	100063661992022	1	2021-08-20 00:00:00	50000
bobimpubgms	2386924678025279	1	2020-12-18 00:00:00	50000
HQ.BacGau	425784328258089	1	2021-06-16 00:00:00	50000
luayoficial	104043724680387	1	2021-03-14 00:00:00	50000
bobimmbpubg	2386924678025279	1	2021-01-27 00:00:00	50000
330671107837510	100044188581679	1	2021-04-05 00:00:00	50000
AkosiJuizy	106161471158764	1	2020-09-05 00:00:00	50000
3mrGaming	113701593418860	1	2021-01-22 00:00:00	50000
GT-Gaming-103289645161992	103289645161992	1	2021-08-13 00:00:00	50000
bobimpupgo	2386924678025279	1	2021-03-09 00:00:00	50000
bobimzkpubg	2386924678025279	1	2021-03-03 00:00:00	50000
realdominatorirfan	"298233537508427, 3893376075"	2	2021-09-01 00:00:00	50000
Chrizythacrazy	100063708310071	1	2021-08-12 00:00:00	50000
BUDI01GAMINGOfficial	103302884410850	1	2021-05-15 00:00:00	50000
botiuep	2386924678025279	1	2021-05-09 00:00:00	50000
sauhtp	110413664054679	1	2021-06-03 00:00:00	50000
AlejandroEstrellaGaming	1059362840875211	1	2020-10-24 00:00:00	50000
DarkSoulgaming01	100185981485203	1	2021-05-18 00:00:00	50000
bobimpubgdi	2386924678025279	1	2021-01-19 00:00:00	50000
manhhao1992	289721125006388	1	2021-01-31 00:00:00	50000
PoyzoneGaming	427112987332608	1	2020-10-10 00:00:00	50000
bobimpubgj	2386924678025279	1	2021-02-04 00:00:00	50000
AungKoHtetGamerShop	263775034466440	1	2020-10-30 00:00:00	50000
gtgamingindia	100068107743023	1	2021-08-16 00:00:00	50000
case2gaming	101086164921529	1	2021-08-13 00:00:00	50000
sweetielineuwu	2327312710831982	1	2021-09-03 00:00:00	50000
MobileLegendsGameSingapore	479681359435933	1	2021-07-18 00:00:00	50000
versatileebby	2202626363188097	1	2021-08-24 00:00:00	50000
tos.summer	1832783246970429	1	2021-09-03 00:00:00	50000
BoPaingGyiChannel	464218794390456	1	2021-01-31 00:00:00	50000
Esportesnewsofc	111413657046111	1	2020-08-23 00:00:00	50000
geonygamers	108591680738194	1	2021-08-09 00:00:00	50000
bocamyi	2386924678025279	1	2021-05-14 00:00:00	50000
JinnoxPlays	104235691521526	1	2020-12-21 00:00:00	50000
ONEEsports	526497704426046	1	2021-05-15 00:00:00	50000
boracelik59	108007930908139	1	2020-09-13 00:00:00	50000
youssefTNGaming	104407411235170	1	2021-05-10 00:00:00	50000
bovuzibe	2386924678025279	1	2021-05-18 00:00:00	50000
bobimbkpubg	2386924678025279	1	2021-02-23 00:00:00	50000
DanyanCatGaming	1499278793619386	1	2021-09-02 00:00:00	50000
bobimkzpubg	2386924678025279	1	2021-03-02 00:00:00	50000
bobimpubgza	2386924678025279	1	2020-12-23 00:00:00	50000
bopimko	2386924678025279	1	2021-04-25 00:00:00	50000
jayzonesgaming	110946330595132	1	2020-10-10 00:00:00	50000
UnclePao69	218600278180131	1	2020-09-15 00:00:00	50000
bobimpubgdz	2386924678025279	1	2020-12-16 00:00:00	50000
bobimzkpugb	2386924678025279	1	2021-03-04 00:00:00	50000
BamBamxTheSims4	103779431753480	1	2021-04-29 00:00:00	50000
bobimpubgma	2386924678025279	1	2020-12-06 00:00:00	50000
bolucnk	2386924678025279	1	2021-04-28 00:00:00	50000
z3em20	221393122524285	1	2021-06-22 00:00:00	50000
paranhodzgaming	103973324466351	1	2020-09-25 00:00:00	50000
bobimpmpg	2386924678025279	1	2021-03-24 00:00:00	50000
bobimugpbm	2386924678025279	1	2021-02-18 00:00:00	50000
plbpubg	101571498486313	1	2021-08-24 00:00:00	50000
bobimlapub	2386924678025279	1	2021-03-23 00:00:00	50000
bobimpubgku	2386924678025279	1	2021-02-05 00:00:00	50000
bobimpupgmb	2386924678025279	1	2021-02-17 00:00:00	50000
نظوري-كيمنك-186304396253909	186304396253909	1	2021-07-06 00:00:00	50000
palardidugaming	100900831267152	1	2021-08-23 00:00:00	50000
ZLANEROFFICIAL	503534426744172	1	2020-09-09 00:00:00	50000
hashgames	1836380759942376	1	2020-10-30 00:00:00	50000
bobimtoppubg	2386924678025279	1	2021-01-29 00:00:00	50000
freefirevn	116438885738795	1	2021-05-30 00:00:00	50000
PUBGMesportid	290422794871021	1	2021-08-25 00:00:00	50000
bobipopg	2386924678025279	1	2021-04-17 00:00:00	50000
bobimpupg	2386924678025279	1	2021-01-21 00:00:00	50000
rhboys	112977008741245	1	2020-09-25 00:00:00	50000
FMA.Akira	110476467181435	1	2021-08-31 00:00:00	50000
kuyanicwxc	"4051899164, 469766099899164"	2	2021-03-21 00:00:00	50000
bobimpubggbz	2386924678025279	1	2020-12-29 00:00:00	50000
bobimkbpubg	2386924678025279	1	2021-01-29 00:00:00	50000
EdynChexOficial	384718118211921	1	2021-04-11 00:00:00	50000
bobimtkc	2386924678025279	1	2021-03-13 00:00:00	50000
boqumgo	2386924678025279	1	2021-05-04 00:00:00	50000
bobimpubgmb	2386924678025279	1	2020-12-02 00:00:00	50000
bobimpubgx	2386924678025279	1	2021-06-12 00:00:00	50000
realworthdemonstrator	1225644000938688	1	2021-08-30 00:00:00	50000
Tzuky0x	108832267201956	1	2020-11-29 00:00:00	50000
bomkbim	2386924678025279	1	2021-03-18 00:00:00	50000
bolacmy	2386924678025279	1	2021-05-06 00:00:00	50000
hwasalroh	1807029609604973	1	2021-08-08 00:00:00	50000
bobimkok	2386924678025279	1	2021-03-11 00:00:00	50000
AlexAGaming2	105427307775913	1	2021-08-14 00:00:00	50000
bochachkn	2386924678025279	1	2021-04-02 00:00:00	50000
dugsdugzgaming	104960584623764	1	2020-08-23 00:00:00	50000
TraiZTV	1768949460024012	1	2021-08-03 00:00:00	50000
Natzuwiii	667344260548063	1	2020-09-11 00:00:00	50000
CHoOxTV	804722076362085	1	2021-05-09 00:00:00	50000
MitoGamer96	101848741668674	1	2020-12-06 00:00:00	50000
bobimpubgtm	2386924678025279	1	2020-12-19 00:00:00	50000
bocamze	2386924678025279	1	2021-05-13 00:00:00	50000
mzctmm	114569197063422	1	2020-12-21 00:00:00	50000
bobimvp	2386924678025279	1	2020-12-11 00:00:00	50000
nerozxc16	111576557027021	1	2021-06-05 00:00:00	50000
PitufinaGamer	100878801339044	1	2021-05-07 00:00:00	50000
bobimpubggaming	2386924678025279	1	2020-11-30 00:00:00	50000
ESportsTV.myanmar	430114364205567	1	2020-12-21 00:00:00	50000
kazamagamingofficial07	469879870430607	1	2021-08-07 00:00:00	50000
Jahbood	114336803593825	1	2021-08-07 00:00:00	50000
chimsedinangaoe	106001291717147	1	2021-06-16 00:00:00	50000
alestroid	159060918127962	1	2021-05-07 00:00:00	50000
BANLARTAT	104635151560413	1	2021-07-30 00:00:00	50000
Mydreamingyt	574638416566335	1	2021-08-09 00:00:00	50000
oragonsijimboi	100435258543099	1	2021-08-02 00:00:00	50000
bobimgmla	2386924678025279	1	2021-08-27 00:00:00	50000
bocemdo	2386924678025279	1	2021-05-07 00:00:00	50000
bobimgmrt	2386924678025279	1	2021-08-01 00:00:00	50000
teamflash.adc	293110144691609	1	2021-08-28 00:00:00	50000
bobimjjpubg	2386924678025279	1	2021-03-14 00:00:00	50000
botaose	2386924678025279	1	2021-05-08 00:00:00	50000
bobimpubgko	2386924678025279	1	2020-12-30 00:00:00	50000
trezz13	109170220704487	1	2021-07-04 00:00:00	50000
ZKLGAMER	116181483406755	1	2021-07-30 00:00:00	50000
bobimpubgdk	2386924678025279	1	2020-12-31 00:00:00	50000
bobimpubgkf	2386924678025279	1	2021-01-04 00:00:00	50000
TaiGia68	107586214240455	1	2020-08-10 00:00:00	50000
castbyzyzyy	105644091250649	1	2021-02-10 00:00:00	50000
teamflash.xb	233451360943162	1	2021-08-20 00:00:00	50000
AbnNineveh1	106655180749841	1	2021-08-29 00:00:00	50000
skitzodadgaming	104390334332291	1	2020-08-24 00:00:00	50000
bobimlok	2386924678025279	1	2021-03-12 00:00:00	50000
realamysingh	105598974805826	1	2021-09-02 00:00:00	50000
FreeFireSA	505750923124688	1	2020-10-25 00:00:00	50000
tuanxinhgai2000	1225180384325074	1	2021-08-31 00:00:00	50000
MathiBritosSdb	106346954703448	1	2021-04-20 00:00:00	50000
bobimfkpubg	2386924678025279	1	2021-03-03 00:00:00	50000
aceMl99	2061165074108464	1	2021-01-31 00:00:00	50000
onakTV	107731101010355	1	2020-10-10 00:00:00	50000
rhonjosephdistor	632578730686928	1	2020-10-03 00:00:00	50000
myanmargamehub	104395041104180	1	2021-01-31 00:00:00	50000
bobimpubgot	2386924678025279	1	2020-12-21 00:00:00	50000
AkSquadUp	108854503911783	1	2020-09-26 00:00:00	50000
CasterTuvshuun	1296792027137882	1	2021-08-20 00:00:00	50000
vietthangcaster	100051784575865	1	2021-09-04 00:00:00	50000
Bcato0	1913505402227084	1	2021-05-09 00:00:00	50000
bobimgmew	2386924678025279	1	2021-08-29 00:00:00	50000
112535840441672	100057226518713	1	2021-05-04 00:00:00	50000
mrmondalgamimg	105571264608192	1	2021-07-11 00:00:00	50000
garenacodmPH	115777143195796	1	2021-09-05 00:00:00	50000
bobimtayto	2386924678025279	1	2021-02-06 00:00:00	10000
DANIELHUNTER06	183831445559811	1	2021-08-26 00:00:00	10000
PlayGameKhOfficial	101150285019725	1	2021-05-20 00:00:00	10000
Andini-579127556098391	579127556098391	1	2021-07-31 00:00:00	10000
htoomyatgaming	100570111651035	1	2021-02-03 00:00:00	10000
bobimpubgd	2386924678025279	1	2020-12-05 00:00:00	10000
PUBG.TH.Official	172882636630076	1	2021-08-31 00:00:00	10000
bochanhhk	2386924678025279	1	2021-04-23 00:00:00	10000
Dagar64	1433491543584130	1	2021-08-26 00:00:00	10000
rtgesportsofficial	100901261758546	1	2021-08-15 00:00:00	10000
SOBRINOSTV	104274884313742	1	2021-03-01 00:00:00	10000
bobimpubgki	2386924678025279	1	2021-01-09 00:00:00	10000
JayPerilloOfficial	161585593751	1	2021-06-28 00:00:00	10000
GangsterMan77	433356263888224	1	2020-08-15 00:00:00	10000
tkinnng	109864653845177	1	2021-08-30 00:00:00	10000
M7AME7O01	100057432939765	1	2021-02-16 00:00:00	10000
bobimpubgv	2386924678025279	1	2020-12-05 00:00:00	10000
NoobManGamer	112051530581728	1	2021-07-14 00:00:00	10000
miminhelmet	409263519634230	1	2020-11-30 00:00:00	10000
bobimmgk	2386924678025279	1	2021-04-14 00:00:00	10000
elproofessoor	104866557703886	1	2020-08-15 00:00:00	10000
ResenhaSantistas	102857281264091	1	2020-11-01 00:00:00	10000
CrashBoomPunknew	100063661992022	1	2021-08-17 00:00:00	10000
jinggaming2021	105046031759645	1	2021-08-25 00:00:00	10000
khdgaming13	110182727361651	1	2020-08-11 00:00:00	10000
JametSloki	112363930585495	1	2021-08-06 00:00:00	10000
flacotv26	102715348305450	1	2021-07-11 00:00:00	10000
ShifulizedGaming	107890634173185	1	2020-10-02 00:00:00	10000
